100000	2	3		
A	F	0	0.141606	0
B	F	0.485171	0.805733	0.473595
A	F	0	0.102429	0
Z	Y	0.605734	0	0.14428
B	E	0	0.323561	0.676594
B	Y	0.744467	0.26564	0.476306
A	G	0.163975	0.967418	0
C	Y	0.854407	0.229933	0.145863
Z	Y	0.965475	0.497425	0
A	E	0.684043	0.920323	0.439702
A	E	0.244038	0.767863	0.634821
A	F	0	0.890432	0
Z	Y	0.947458	0.0359	0.430006
A	E	0	0	0.637609
A	Y	0.527122	0.732319	0.303914
C	E	0	0	0.132118
B	E	0.710808	0.261283	0
Z	Y	0.700175	0.169146	0.14292
Z	Y	0.540314	0	0.635575
B	E	0.68338	0.489894	0.15766
B	F	0.565436	0.544476	0.245968
B	E	0.292142	0.941807	0
Z	E	0.32003	0	0
B	F	0	0.039065	0
Z	E	0.387149	0	0
A	Y	0.631971	0.109791	0.963245
Z	E	0	0.904355	0
Z	E	0.150708	0.965595	0.42903
A	Y	0.515639	0	0
Z	E	0	0.613646	0.906472
Z	E	0	0.744979	0.791752
A	Y	0.589315	0.290938	0
Z	F	0	0.984095	0
D	E	0.728538	0	0
B	E	0.736726	0.297659	0.024147
A	F	0.051209	0	0
A	F	0.591754	0.173296	0
Z	Y	0.911349	0.436544	0.469039
B	Y	0	0	0
Z	Y	0.916632	0.187731	0
C	G	0.01296	0	0.860894
Z	E	0.164849	0.645899	0
B	E	0.769539	0	0
B	E	0	0.51159	0
B	Y	0.602484	0.860303	0.337255
A	H	0	0	0
A	F	0	0.510782	0.310497
C	E	0	0.198343	0.492007
A	E	0.454504	0	0
Z	F	0.255225	0.824457	0.456924
C	E	0.397631	0.580335	0.613482
A	Y	0.603532	0.182485	0.164183
Z	G	0.924855	0.76653	0.445582
A	H	0	0.084804	0.775352
A	Y	0.885632	0.366227	0.513693
D	E	0.523363	0.346988	0.861868
A	G	0	0.255388	0.434837
A	Y	0.307331	0.610208	0.073033
B	F	0.628753	0.888985	0
B	Y	0.891997	0.018792	0.359122
A	E	0.914686	0.816307	0.622087
A	E	0.62172	0.963326	0.024096
B	Y	0.219172	0.658326	0.823745
B	E	0	0	0
Z	Y	0.595849	0.630076	0.633071
B	E	0.429288	0.856069	0.37554
A	Y	0	0.511656	0.532864
D	E	0	0	0
C	Y	0	0.698403	0.405711
C	F	0	0	0.528291
B	F	0.525879	0.776534	0.240013
Z	Y	0.575264	0.168289	0
Z	E	0	0.632209	0.553467
Z	E	0.994309	0.758031	0.536454
Z	F	0.559137	0.942129	0.262281
Z	Y	0.824971	0.61274	0
Z	H	0.198211	0.498922	0.542876
Z	Y	0.785305	0.233545	0.506639
B	F	0	0	0.688564
A	H	0.089464	0.06978	0.842413
C	F	0.632122	0.541686	0.277404
A	F	0.448207	0.601836	0.461939
A	H	0.723243	0	0.565367
B	F	0	0.440275	0.670244
Z	Y	0	0	0.092958
B	Y	0.694969	0	0.758599
Z	E	0	0.668496	0.648847
C	E	0.857207	0.760356	0
A	Y	0	0	0.541458
Z	F	0.334916	0.094146	0.917527
Z	G	0.307948	0.273653	0.470586
A	G	0.484583	0.573872	0.218953
B	E	0	0	0.687247
A	G	0.500744	0.891002	0.097551
B	E	0.358427	0.510051	0
D	E	0	0.459394	0
C	Y	0	0.499353	0
B	E	0.883209	0.221391	0.415191
Z	F	0.082708	0.551491	0
B	Y	0	0.638643	0.563009
A	Y	0.531231	0.2521	0.385704
A	Y	0.38132	0.729327	0.700316
B	F	0	0	0
C	E	0.650547	0	0.3189
D	Y	0	0.621251	0.145358
B	Y	0.517369	0.859029	0.22033
B	H	0	0.805193	0
Z	Y	0	0	0
A	F	0.798859	0	0.815005
A	F	0	0	0.483797
Z	F	0.78221	0.476459	0
Z	E	0.408502	0.775843	0
A	F	0.642735	0.898608	0.325993
B	F	0.294204	0	0.85928
Z	Y	0	0.305098	0.379268
Z	E	0.179432	0.741397	0.368634
B	Y	0.264297	0.363214	0
A	Y	0.528409	0	0.685068
Z	Y	0	0.379629	0
Z	Y	0.347408	0.665429	0
Z	E	0.800438	0	0
Z	F	0.804102	0.768035	0.559698
Z	Y	0	0.241777	0.577997
Z	E	0.744639	0	0
Z	E	0	0.553886	0.80457
Z	E	0	0.630666	0.422951
Z	Y	0.797934	0.176103	0.343232
B	G	0.758856	0.114514	0
Z	E	0.788327	0	0.775563
A	E	0.37901	0.402544	0.995977
A	Y	0.037082	0	0
Z	F	0.591082	0.202176	0.241797
C	Y	0.402708	0	0.421647
B	Y	0	0	0
Z	Y	0	0.694069	0
A	Y	0.873878	0.666201	0.541701
A	E	0.620964	0.606241	0
Z	E	0.132567	0.834018	0.514722
Z	F	0.321348	0.938681	0.428776
C	Y	0	0	0.354814
B	E	0.693778	0.021444	0.745646
B	E	0.026865	0.491395	0.642163
Z	Y	0	0	0
A	H	0	0.979669	0.003727
Z	Y	0.328891	0.775959	0.581957
C	Y	0.08441	0.620648	0.539287
B	Y	0.585441	0.021502	0.665449
Z	G	0.064986	0.947832	0
A	Y	0.960274	0.453309	0.402912
B	H	0	0	0.156657
Z	H	0	0.339592	0
B	F	0.122942	0.310539	0.427331
B	E	0.524581	0.458233	0.679304
Z	Y	0.346408	0	0
A	E	0.458747	0.260755	0
A	Y	0.770383	0.516516	0
B	Y	0.457713	0.666565	0.691826
C	E	0	0.082391	0
A	G	0.469481	0.475969	0.861043
Z	Y	0.605021	0.932503	0.607149
C	E	0.717413	0.090585	0.64867
Z	E	0.880022	0	0.744836
B	E	0	0.367965	0
Z	F	0.040421	0.511021	0
B	F	0.767687	0	0.015453
B	F	0	0.272508	0.412735
Z	Y	0	0	0
Z	Y	0.2682	0	0.462784
A	E	0	0.506514	0
Z	H	0.456319	0.797157	0.532027
B	Y	0.458984	0.980131	0.22632
Z	E	0	0.596958	0.789145
Z	Y	0	0.413695	0.086421
Z	E	0.423917	0.171216	0.852918
A	F	0.912169	0.197195	0.787958
Z	H	0.046255	0.206261	0.804733
Z	Y	0.767159	0.656577	0.56618
A	E	0.716318	0.5909	0.227084
Z	E	0.894014	0.781794	0.283752
A	E	0.877391	0	0
Z	Y	0	0	0.04949
A	F	0.513648	0	0.808791
Z	Y	0.754742	0.305342	0
A	Y	0.415577	0.248893	0.376358
Z	E	0	0	0
C	F	0.675105	0.375317	0.020348
B	Y	0	0	0.722121
Z	E	0.883828	0.741478	0.809574
C	E	0	0.383233	0.430293
D	E	0	0.216635	0
B	H	0	0.222112	0.51791
A	E	0	0.677523	0.108421
Z	H	0.013663	0	0
A	E	0.972871	0	0.547703
C	F	0.610303	0.062369	0.993029
A	Y	0	0.967168	0.446347
B	E	0	0.040759	0
B	G	0.273128	0.741543	0
A	Y	0	0.027857	0.957125
B	Y	0.742775	0.776213	0.182398
A	F	0.270657	0.341809	0.554678
Z	Y	0.654752	0	0.249605
Z	Y	0.468734	0.571032	0.646329
B	F	0.336337	0	0
C	E	0.426408	0.698929	0
C	Y	0.226418	0.795748	0.45795
A	E	0.598639	0.918756	0.848403
Z	E	0.472945	0	0.394287
B	E	0.494005	0.434892	0.972856
Z	E	0.819844	0.248605	0.547813
Z	Y	0	0	0.481022
Z	F	0.936037	0.1542	0.707641
A	E	0.626849	0.482492	0.339849
A	Y	0.470649	0.143959	0.586521
A	Y	0.697293	0.701943	0.520057
B	Y	0	0	0
B	E	0.187495	0.164962	0.679071
Z	G	0.385154	0.548339	0.604795
B	Y	0.514418	0.480986	0.547212
D	E	0	0.599939	0
A	E	0.250674	0	0.945706
Z	E	0.258913	0	0.685041
A	E	0.455991	0.596922	0
Z	H	0	0.454431	0
A	F	0.860689	0	0.118178
D	Y	0	0.88149	0.684821
C	Y	0.968151	0.225087	0.845484
B	F	0.622318	0.8407	0.305448
B	G	0.560094	0	0.108901
Z	E	0.826825	0.45316	0.507206
Z	G	0	0.421711	0
D	Y	0.108583	0	0
Z	Y	0.592337	0.327331	0
A	G	0	0.462317	0.432944
A	F	0	0.325457	0.500442
A	F	0.333548	0	0.237044
C	F	0.156593	0	0
D	Y	0.269304	0.778364	0.292818
B	F	0.41308	0.598125	0
A	F	0.425671	0.284497	0.757082
Z	E	0.141375	0.936427	0.317357
A	E	0.302528	0.480334	0
A	F	0.144247	0.827088	0
Z	F	0	0.575698	0.206871
Z	F	0.952721	0.352704	0
A	Y	0	0.628012	0.512158
A	Y	0.420413	0.637689	0.520411
Z	Y	0	0.611959	0.53035
Z	E	0	0	0.639425
A	G	0.323554	0.145658	0.884076
B	F	0.74993	0.782415	0
Z	Y	0	0.17863	0.995253
Z	E	0.850235	0.453886	0.530766
Z	Y	0.770711	0.388441	0
A	Y	0.922564	0.445478	0.568226
Z	G	0.545207	0	0.353377
C	Y	0.69873	0	0.214273
Z	E	0.947241	0.388984	0
A	Y	0	0.780945	0
C	F	0	0	0.139411
Z	E	0.984456	0	0.563172
B	E	0.654791	0	0.39326
C	E	0.442737	0.62451	0
Z	F	0.300592	0.963428	0.383639
B	E	0	0.663125	0
C	E	0.409855	0	0
Z	F	0.736201	0.147429	0.455654
B	F	0.153413	0.71556	0.663354
Z	E	0	0.319521	0
A	F	0.414881	0.895458	0
A	E	0	0	0
C	E	0.54117	0.301194	0.433711
A	F	0.602652	0	0.457767
A	E	0	0.678568	0.285277
B	Y	0.895037	0.596226	0.724693
Z	E	0	0.556775	0.156309
A	Y	0.86423	0.395003	0
B	E	0	0.265676	0.399996
Z	Y	0.130026	0.950491	0.09336
B	E	0.855321	0.2917	0
C	E	0.702358	0.906416	0.216332
A	E	0.897272	0	0.920412
B	Y	0.902489	0.248353	0
B	Y	0.050049	0.649835	0.271173
Z	E	0.843807	0	0.243775
A	E	0.757792	0	0.245286
Z	H	0.56569	0	0.527552
C	E	0.658866	0.804773	0.624898
Z	E	0.253678	0.54504	0
Z	Y	0.68586	0.916962	0.11075
C	E	0	0.401316	0
Z	E	0.648156	0.774087	0
A	G	0.145491	0.772872	0.580022
Z	E	0.692804	0.882376	0.500683
A	F	0	0.17383	0.837638
B	E	0	0.415825	0
B	F	0.401884	0.538451	0.598838
Z	E	0	0.328238	0.331675
Z	Y	0	0.494066	0
A	E	0.570755	0.383825	0
A	Y	0	0.199328	0.473478
A	F	0	0	0.216692
D	E	0.713744	0	0.267893
B	F	0.643478	0.625897	0.616739
A	E	0.711276	0.718126	0
Z	F	0.317909	0.737252	0.512348
C	Y	0.436849	0.320822	0.469104
C	F	0.597494	0.850286	0.444975
Z	Y	0	0.207155	0.455322
A	E	0.269516	0	0.187004
D	Y	0	0.674544	0.665342
A	F	0	0.602928	0.08441
B	Y	0	0.225008	0.710112
Z	Y	0	0.209712	0.187896
C	E	0.232948	0.756649	0
B	E	0.411425	0	0.912575
B	E	0.276966	0.974765	0.69657
B	H	0.047229	0	0.679398
B	Y	0	0.620404	0.249526
A	F	0.487043	0.52995	0
B	E	0.81097	0	0
B	G	0.231785	0.23535	0.75918
Z	Y	0	0.111385	0
C	E	0.781887	0	0.221966
A	G	0.717105	0	0.635521
B	Y	0.347318	0	0
B	E	0.479297	0	0.723815
C	E	0.659062	0	0.684322
Z	E	0.966353	0.467877	0
Z	E	0.151537	0	0.726145
Z	E	0	0	0
D	E	0.409091	0.712576	0
A	H	0.164413	0.859585	0.966452
B	F	0.768799	0	0.374023
B	G	0.181168	0.816476	0.332449
B	Y	0.116793	0.458596	0
A	Y	0.234561	0	0.884088
Z	Y	0.162672	0.151494	0.678931
B	E	0	0.108667	0.754925
A	F	0.472344	0.694784	0
B	H	0.201585	0.970938	0.26578
B	Y	0.895118	0	0
B	F	0.697502	0	0.334852
B	Y	0.368172	0.401303	0.545241
B	F	0.425257	0	0
Z	E	0	0.705667	0.492373
A	G	0.401097	0.567492	0.384021
C	Y	0	0.492644	0
C	Y	0	0	0
C	H	0.630355	0	0
A	E	0.27003	0.454311	0
B	E	0.619332	0	0
Z	E	0	0.060264	0.530631
Z	E	0.948028	0.150843	0
Z	F	0.6424	0	0.800939
Z	E	0.743972	0	0
Z	Y	0	0.737293	0.636766
Z	Y	0	0.976509	0
C	Y	0.426852	0	0.882841
D	F	0	0	0
Z	E	0	0.802595	0.194246
B	F	0.409614	0.259766	0
Z	Y	0.670713	0	0.961615
A	H	0.012391	0.581579	0
A	Y	0.820857	0.157788	0.380541
Z	Y	0	0	0.499764
D	E	0.776876	0.801299	0.526042
C	E	0.317431	0.584678	0.832523
Z	Y	0.427153	0.752234	0.493573
A	G	0	0.627655	0
Z	F	0.197967	0	0.090509
A	G	0.889128	0.337414	0.401043
A	Y	0	0.159617	0.519167
A	F	0.383734	0.719634	0.092237
A	Y	0.425099	0	0.739431
C	E	0.550979	0.273983	0
A	Y	0.545252	0	0.049333
Z	G	0	0	0.707429
A	E	0	0	0.945092
Z	F	0.842238	0.259253	0.739556
Z	E	0	0.123014	0.440738
Z	F	0.413705	0	0
B	E	0.706409	0.762167	0.449822
B	E	0.626813	0.411907	0.784939
Z	E	0	0	0
A	E	0	0	0.694823
Z	F	0.579776	0.281048	0
Z	F	0.282055	0.918818	0.363825
Z	E	0.835047	0	0.362172
B	G	0	0.250528	0.676563
A	G	0.320782	0.671953	0.091531
B	Y	0.404033	0.331069	0
Z	E	0	0	0.775812
Z	E	0.953822	0	0
C	E	0	0.067479	0.536458
Z	F	0	0.327669	0.764196
A	E	0.98157	0.124761	0.40653
A	E	0.48222	0.480107	0.557297
Z	E	0.439815	0	0.856635
Z	Y	0.570931	0.065987	0.68483
A	G	0.834363	0.16953	0.482472
B	Y	0.639695	0.217993	0
A	F	0	0	0.11688
D	G	0.179343	0.532776	0.834057
Z	E	0	0.891013	0.535031
C	G	0	0.429461	0
C	E	0.253528	0.750394	0.659671
A	F	0.394928	0.213843	0.429077
A	E	0	0.339481	0
B	E	0.28772	0	0.401386
Z	G	0.325349	0.953141	0
C	E	0	0.4944	0.204583
B	Y	0.928588	0.457464	0.167472
B	E	0.846372	0.925115	0.186988
A	G	0	0.435134	0
A	G	0.978588	0.050742	0.181938
C	Y	0.602432	0	0
B	Y	0.22778	0	0.352714
A	Y	0.286214	0	0
A	E	0	0	0
A	Y	0	0	0.559914
B	Y	0.329027	0.44643	0.567216
A	E	0.600395	0.504456	0.63521
A	E	0.495907	0.581355	0.300453
D	Y	0.490729	0.998028	0.360108
Z	E	0.805563	0	0.731594
D	E	0	0	0.464792
B	E	0.778173	0	0.381173
Z	F	0	0	0
A	Y	0.696537	0.561975	0.846195
B	E	0	0	0.363833
Z	H	0.603425	0.262755	0.311465
A	G	0.618733	0.430753	0
B	F	0.824451	0	0.506744
Z	E	0	0.73937	0.730635
B	E	0.722977	0.979191	0.227666
B	E	0.697628	0.385318	0.879949
B	Y	0.570005	0	0
A	Y	0.220906	0	0.054883
A	F	0	0	0.474953
D	E	0	0.502847	0.717267
A	H	0	0.70426	0.536089
C	Y	0.72161	0.252092	0.733417
Z	E	0.156114	0.547007	0.922787
Z	Y	0.525258	0.779478	0
Z	F	0	0.334551	0.39028
Z	F	0.706373	0.486702	0.411358
A	Y	0.285399	0.601352	0
D	E	0.953949	0.596758	0.730661
B	E	0.401128	0.828383	0.539611
Z	Y	0.181617	0.570119	0.091108
A	Y	0.859672	0.846793	0
Z	E	0.236125	0	0.71561
D	E	0.856464	0	0
B	E	0.979859	0.246969	0
Z	E	0.784411	0.878291	0.129426
A	Y	0.431649	0.460164	0
A	Y	0.794194	0.129926	0.72024
A	Y	0.178	0.532269	0.550307
B	E	0.998085	0	0.527279
Z	Y	0	0.726116	0
A	E	0.298069	0.260042	0
A	H	0.255358	0.250195	0.802679
A	G	0	0	0.976476
A	Y	0.583793	0.208364	0
Z	H	0	0	0.049397
D	Y	0.534098	0	0.525172
B	E	0.796394	0.730062	0.151158
B	E	0.582509	0.772332	0
A	E	0.281826	0.49267	0.675119
Z	F	0.732628	0.253676	0.72569
A	Y	0.982392	0.304823	0.262247
B	F	0	0.459922	0.401298
C	Y	0.239453	0.199974	0
Z	F	0.820226	0	0.318739
D	E	0.258673	0.704694	0.541852
Z	H	0.511835	0	0.487855
D	F	0.236377	0	0.274197
A	G	0.718485	0.254965	0.119829
C	F	0	0.593989	0.32811
B	E	0.433202	0.214496	0
B	Y	0.42603	0.647748	0
A	E	0.322213	0.87646	0.108454
A	Y	0.073353	0.849866	0
B	Y	0.140991	0.89879	0.21281
Z	E	0.659075	0	0.274297
B	G	0.305537	0.365025	0
Z	E	0.302701	0.493419	0.711449
B	F	0	0	0.513347
C	E	0	0.459235	0
A	F	0	0.584994	0
B	E	0.53714	0.036747	0.598802
A	F	0	0	0.989817
Z	Y	0.779863	0.511733	0
Z	F	0.962299	0.323055	0
B	Y	0.173734	0.938166	0
C	E	0.760955	0	0.597488
Z	G	0.527676	0.554658	0.17917
A	E	0.977584	0.533311	0.750037
A	F	0.300805	0.012472	0.886722
A	E	0	0.681475	0
A	Y	0.839785	0.386967	0
Z	E	0.19301	0	0.128099
Z	F	0.06092	0	0.762504
B	Y	0	0.292786	0.741275
A	Y	0.180382	0.436074	0.772377
B	F	0.776689	0	0.630989
Z	Y	0	0.216286	0.335675
B	Y	0.334651	0.493659	0.517476
Z	H	0.613817	0.362077	0
D	Y	0.630509	0.005688	0.767279
B	E	0	0.635486	0.592406
Z	G	0.160583	0.690288	0.162214
A	Y	0.98043	0.441114	0.024171
C	Y	0.261171	0	0.424254
A	Y	0.93717	0	0.455714
A	G	0.246525	0.799274	0.220925
A	E	0	0.558374	0
Z	G	0	0.540568	0.07994
Z	H	0.736375	0.403361	0
Z	F	0.634242	0.461402	0
D	E	0.367554	0.285332	0
A	E	0	0.71548	0
A	E	0.424033	0.591968	0.282423
B	Y	0.698423	0.448418	0
Z	E	0.922651	0.368197	0.625928
Z	E	0.534917	0.630876	0.440185
A	G	0	0.540049	0
A	F	0.586846	0.276681	0.86782
A	E	0.723156	0	0.390461
Z	E	0	0.430472	0.76255
B	E	0.673051	0.418562	0.46681
Z	F	0.861602	0	0.676301
A	F	0	0	0.559565
A	G	0.092289	0.012354	0.861619
C	E	0.78889	0.751229	0
D	E	0	0.873834	0.453992
B	Y	0.192646	0.514894	0.464548
C	E	0	0	0
B	E	0.055139	0	0.970851
A	Y	0.689284	0.89201	0
B	F	0.361641	0.112589	0.50407
Z	Y	0.549122	0.12396	0.462299
Z	G	0.142019	0.479667	0.219396
B	E	0	0.781275	0
Z	E	0.984858	0.658253	0.466506
D	E	0	0.787678	0.496366
A	Y	0.406693	0.881538	0
Z	E	0.939235	0	0
A	F	0.574605	0.515326	0
A	G	0	0.797342	0.163081
C	H	0.742921	0.13711	0.607666
B	F	0.086731	0.637726	0
A	F	0	0.190362	0.772103
Z	E	0.592737	0.599587	0.294702
A	G	0	0.320583	0.55118
A	E	0.489524	0	0
B	E	0.504954	0.175949	0.437491
Z	E	0.228564	0.731815	0.65338
A	H	0	0.576725	0.500336
C	F	0.285888	0.080225	0.639876
Z	E	0.836309	0.474207	0.179093
Z	E	0.621026	0	0.347864
Z	H	0.369392	0.253581	0
Z	Y	0.546142	0.242035	0.670655
A	Y	0.659522	0	0.418466
A	H	0.715534	0.202955	0.67391
A	F	0	0.258498	0.138471
D	Y	0	0	0.484743
C	Y	0	0.295131	0
B	F	0.674707	0	0.969834
Z	E	0.619124	0	0.690197
C	G	0.638237	0.511576	0.187529
D	E	0	0	0.739216
Z	Y	0.268204	0	0.958756
Z	E	0.39209	0.757388	0
Z	E	0	0.971721	0
Z	Y	0.485646	0	0.95593
Z	E	0.458771	0.402361	0
Z	Y	0.678861	0.490882	0.791631
Z	F	0.671901	0.930555	0
A	Y	0.7573	0.448926	0.110984
A	E	0.618631	0.317842	0
A	Y	0.57168	0.377023	0.100255
A	F	0.554892	0	0
B	Y	0.752226	0.597948	0.182673
A	H	0.957032	0.219214	0.195264
C	Y	0.379418	0.383978	0.535983
Z	H	0	0	0.76881
A	Y	0.798141	0.169253	0.153821
A	E	0	0	0
Z	Y	0.746083	0.311227	0.920794
Z	Y	0	0	0.950299
C	E	0.774297	0.586498	0.689825
Z	H	0	0.293219	0.42774
B	E	0.561504	0.447285	0.544373
C	F	0.405095	0	0.403221
B	E	0	0	0.795688
Z	Y	0.19214	0	0.226908
A	E	0.772479	0.291858	0.173553
D	F	0.14503	0	0.244656
B	E	0	0.549328	0.479601
A	Y	0	0.082883	0.304904
A	Y	0	0.761697	0.585493
Z	F	0.710828	0	0
D	Y	0.16329	0.92104	0.137912
B	Y	0.360837	0	0.461259
A	E	0	0.146899	0.932785
Z	H	0.423772	0.135935	0.210825
B	Y	0.403315	0.801205	0.215166
B	E	0	0.469916	0.809331
B	G	0.264949	0.613739	0.656667
A	E	0	0	0
A	Y	0	0	0.321938
B	H	0.029273	0.258206	0.866027
Z	E	0.979779	0	0.067037
Z	G	0	0.255161	0.290591
B	E	0.147445	0	0.649647
Z	F	0.562504	0	0.366625
D	Y	0	0.196058	0.582117
A	H	0.520383	0	0.981416
Z	Y	0.864679	0.568235	0
A	F	0.628813	0.103678	0.275594
Z	F	0.748373	0.672293	0
A	Y	0.663487	0.304177	0.424655
B	H	0.09258	0	0
B	G	0	0.616708	0.301871
C	Y	0.149568	0.820252	0.130826
C	Y	0	0.768355	0.713496
D	E	0.621404	0	0.60829
Z	E	0	0	0.871197
B	F	0.291653	0.642953	0.073996
A	E	0.373414	0.506425	0.937841
A	Y	0	0.713744	0
B	G	0	0	0
A	Y	0	0.162793	0.537744
A	F	0	0.606625	0
Z	Y	0	0.114858	0.523579
A	E	0	0.397153	0
Z	E	0	0.165081	0
A	G	0	0.141568	0
Z	F	0.495789	0	0.379656
A	E	0.621408	0	0.517814
A	Y	0.411854	0.718704	0
Z	Y	0.464121	0.672011	0.36872
A	E	0.528939	0.992689	0.595115
A	F	0	0.800626	0.088202
Z	Y	0.864034	0	0.690338
A	H	0	0.011832	0.715935
A	H	0.881934	0	0.336421
Z	G	0.657062	0.503991	0.434282
C	Y	0.225709	0	0.125306
A	Y	0.168554	0.400397	0.981834
Z	F	0.721422	0	0.207851
A	F	0.759947	0	0
Z	G	0	0	0
A	G	0	0	0.224965
B	Y	0.32379	0	0
B	Y	0	0.420443	0.45168
B	F	0.363519	0.122292	0.825157
B	Y	0	0.207224	0.288463
A	E	0	0.916809	0.912476
Z	E	0.088909	0.204256	0
A	E	0.749334	0.65119	0
Z	Y	0.855259	0	0
A	F	0.782733	0	0.450093
A	E	0.810749	0.829625	0.182574
B	E	0.30963	0.762654	0
D	G	0.309001	0.197544	0.802949
Z	E	0.648619	0	0.138922
A	Y	0.299253	0	0.786533
A	G	0.188542	0.259413	0
A	E	0.47405	0.531358	0.53368
A	G	0	0.371885	0
B	Y	0.490479	0.686558	0.972825
B	Y	0	0.8979	0.387289
Z	H	0.775724	0.40446	0.281481
B	Y	0	0	0.818517
A	H	0.442458	0.389303	0.506339
A	E	0	0.470579	0.070857
A	E	0.65573	0.425651	0.547741
Z	F	0	0.61556	0
Z	E	0.71594	0.383935	0.792025
A	E	0.435373	0.457503	0
A	G	0	0.948245	0.04119
B	E	0	0.403527	0.596525
Z	G	0.086912	0	0
